Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-01-08,1251.0492101183,1209.686756372,1287.692633766,1160.9034027609
ETH,2021-01-09,1208.5799785678,1223.8425646029,1273.60307923,1069.0835565634
ETH,2021-01-10,1287.4841438663,1215.225473042,1302.2222880109,1171.7174976493
ETH,2021-01-11,1281.9976614145,1275.4515448761,1344.6138305963,1161.8346835687
ETH,2021-01-12,1055.8909250422,1253.2708043946,1257.7032600614,912.3281017097
ETH,2021-01-13,1064.2012838901,1087.6746225362,1149.7556812757,1007.5698275053
ETH,2021-01-14,1116.4340868185,1050.8308074089,1136.8125418526,989.8557858136
ETH,2021-01-15,1177.3442448293,1129.6916767608,1245.1143856046,1087.8991567728
ETH,2021-01-16,1171.3958830887,1230.9664858131,1254.4915101784,1071.7724200572
ETH,2021-01-17,1227.0870408156,1168.9245438283,1292.5577521532,1153.1230095731
ETH,2021-01-18,1252.9981581457,1228.3771635037,1268.6658907132,1167.1058927446
ETH,2021-01-19,1238.6455042902,1233.2153850116,1255.736007179,1189.3554541822
ETH,2021-01-20,1411.8339394749,1258.8308727002,1439.3277249001,1252.6486805552
ETH,2021-01-21,1332.6425126838,1367.6633550492,1407.4379307123,1236.7450253429
ETH,2021-01-22,1117.4836784751,1377.5028825258,1388.918842536,1086.0370263545
ETH,2021-01-23,1250.7151664476,1111.2649463623,1275.9558118998,1044.2166271905
ETH,2021-01-24,1235.091639789,1234.5621175427,1274.1911589651,1198.3501194273
ETH,2021-01-25,1368.8956047745,1234.3390013843,1370.1538190218,1221.6730103371
ETH,2021-01-26,1324.8584871299,1393.7109740444,1461.6492677047,1295.5899665958
ETH,2021-01-27,1350.7369555572,1318.39283584,1378.6156149156,1249.4702271129
ETH,2021-01-28,1247.6565556826,1367.5546270094,1373.9531012597,1209.3260137241
ETH,2021-01-29,1354.96039384,1241.7860374951,1361.0169749852,1220.7835674778
ETH,2021-01-30,1407.6817902673,1331.2338482195,1439.7233465199,1288.1300932031
ETH,2021-01-31,1385.498675211,1380.0117732689,1406.6202566072,1329.2030581509
ETH,2021-02-01,1315.243744537,1379.3260347962,1381.6806609607,1283.9226938994
ETH,2021-02-02,1357.0479899865,1314.4190185241,1364.2774907694,1271.9882885825
ETH,2021-02-03,1540.6512876256,1374.4827977797,1549.0337027754,1361.9352112887
ETH,2021-02-04,1644.6859673423,1513.8096086686,1650.3884716015,1510.6196752147
ETH,2021-02-05,1628.4680083886,1665.8928048334,1697.1071828523,1558.5836890519
ETH,2021-02-06,1704.8323001183,1596.9919341709,1761.3547795399,1592.8548347821
ETH,2021-02-07,1708.7282991033,1720.1098276851,1743.5919210664,1647.8198010308
ETH,2021-02-08,1584.68192312,1678.5881497557,1694.6962757031,1493.6428829531
ETH,2021-02-09,1714.8760437,1614.2452653941,1776.470982585,1566.1814939035
ETH,2021-02-10,1762.2683020123,1752.2560887496,1824.58681442,1710.0775187641
ETH,2021-02-11,1747.1977271685,1772.1119761449,1839.3936492133,1693.0255858427
ETH,2021-02-12,1781.5847291302,1743.124852908,1816.9260592408,1706.1661803532
ETH,2021-02-13,1845.8201487353,1787.2889192843,1862.1326646879,1741.4001583529
ETH,2021-02-14,1811.2688742943,1844.3205129455,1872.5229306021,1767.9687728067
ETH,2021-02-15,1828.0926556783,1817.9708255067,1851.5335830585,1787.8350569117
ETH,2021-02-16,1787.1229409878,1803.0805254581,1835.8135476457,1664.8394755679
ETH,2021-02-17,1763.7516712651,1779.9199791489,1827.0446000358,1727.548555444
ETH,2021-02-18,1835.9914626743,1783.3536180109,1856.1865263106,1736.902292684
ETH,2021-02-19,1936.7152857294,1850.4700031321,1950.6923854875,1850.3722706313
ETH,2021-02-20,1958.7391904297,1940.3453753546,1973.5434860951,1893.209005501
ETH,2021-02-21,1855.2648413078,1956.1093530953,2036.5546878264,1812.1297581179
ETH,2021-02-22,1913.8002838917,1915.1484047963,1976.0016374911,1885.5584368965
ETH,2021-02-23,1782.1495911944,1934.5909578061,1937.027622115,1546.5312073478
ETH,2021-02-24,1546.6229610737,1778.3928145485,1781.7648769693,1361.5913116192
ETH,2021-02-25,1589.2668006007,1578.2292612042,1715.1315873978,1501.4692901281
ETH,2021-02-26,1524.1806061529,1625.7187678613,1672.5992935701,1500.9203360234
ETH,2021-02-27,1435.7244181925,1483.1639414019,1563.2639513907,1402.7606643416
ETH,2021-02-28,1495.812837494,1445.3511513752,1527.5463555583,1439.9360611903
ETH,2021-03-01,1412.7131887857,1461.1072374866,1470.8625141182,1303.3305059859
ETH,2021-03-02,1555.8447802536,1421.7298613257,1565.393172148,1412.9352310188
ETH,2021-03-03,1483.9120430764,1571.0823653533,1603.538082805,1458.2079512593
ETH,2021-03-04,1593.87899763,1489.5160971805,1653.203487787,1478.7910368521
ETH,2021-03-05,1528.5683097828,1569.9435700836,1624.9801986556,1508.2879121075
ETH,2021-03-06,1543.5683862909,1540.3625483969,1549.1366228473,1444.9536646875
ETH,2021-03-07,1658.8123184002,1529.8408551208,1668.8612654724,1514.7848597658
ETH,2021-03-08,1681.9917947622,1650.9386921003,1695.2060773322,1631.8423418294
ETH,2021-03-09,1782.4868586483,1726.4259762108,1795.3772728454,1668.5448702225
ETH,2021-03-10,1834.6652773466,1833.0535704937,1857.9494561355,1802.1171972382
ETH,2021-03-11,1829.3913235136,1871.9681973295,1878.4979521679,1764.2671363992
